Date : 2022-02-18 09:16:12
Directory : c:\Users\shabe\Documents\Laravel Projects\cms\resources
Total : 76 files,  5361 codes, 94 comments, 355 blanks, all 5810 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\responsive-nav-link.blade.php             | PHP        |          9 |          0 |          3 |         12 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\view-business-immigration-form.blade.php  | PHP        |          6 |          0 |          1 |          7 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\view-business-immigration-form2.blade.php | PHP        |        213 |          0 |          1 |        214 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\view-skilled-worker-form.blade.php        | PHP        |        402 |          0 |          1 |        403 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\dashboard.blade.php                                  | PHP        |         16 |          0 |          2 |         18 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\home.blade.php                                       | PHP        |        183 |          0 |          2 |        185 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\includes\footer.blade.php                            | PHP        |        253 |          0 |         52 |        305 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\includes\header.blade.php                            | PHP        |        134 |          0 |         11 |        145 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\layouts\app.blade.php                                | PHP        |         55 |          0 |         11 |         66 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\layouts\frontend.blade.php                           | PHP        |          5 |          0 |          1 |          6 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\layouts\guest-admin.blade.php                        | PHP        |         20 |          0 |          5 |         25 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\layouts\guest.blade.php                              | PHP        |         20 |          0 |          5 |         25 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\layouts\navigation.blade.php                         | PHP        |         95 |          0 |         11 |        106 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\page.blade.php                                       | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\admin\auth\login.blade.php                    | PHP        |         48 |          0 |         11 |         59 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\admin\dashboard.blade.php                     | PHP        |         21 |          0 |          1 |         22 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\core\admin\settings.blade.php                 | PHP        |        120 |          0 |          2 |        122 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\j2c\admin\index.blade.php                     | PHP        |        108 |          0 |          1 |        109 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\j2c\admin\view-application.blade.php          | PHP        |         10 |          0 |          1 |         11 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\j2c\business-immigration-assessment.blade.php | PHP        |      1,209 |          0 |         12 |      1,221 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\j2c\skilled-worker-thank.blade.php            | PHP        |         64 |          0 |         10 |         74 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\menu\admin\create.blade.php                   | PHP        |        419 |          6 |         14 |        439 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\menu\admin\edit.blade.php                     | PHP        |        420 |          6 |         14 |        440 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\menu\admin\index.blade.php                    | PHP        |        101 |          0 |          1 |        102 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\child\dropdown.blade.php        | PHP        |         12 |          0 |          1 |         13 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\child\item.blade.php            | PHP        |         11 |          0 |          1 |         12 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\default.blade.php               | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\item\dropdown.blade.php         | PHP        |         15 |          0 |          1 |         16 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\item\item.blade.php             | PHP        |         12 |          0 |          1 |         13 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\menu.blade.php                  | PHP        |          7 |          0 |          1 |          8 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\nav-pills-justified.blade.php   | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\nav-pills-stacked.blade.php     | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\nav-pills.blade.php             | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\nav-tabs-justified.blade.php    | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\nav-tabs.blade.php              | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\navbar-left.blade.php           | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\navbar-right.blade.php          | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\nwidart\menus\style.blade.php                 | PHP        |         43 |          0 |          7 |         50 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\page\admin\create.blade.php                   | PHP        |        154 |          2 |          5 |        161 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\page\admin\edit.blade.php                     | PHP        |        156 |          2 |          5 |        163 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\page\admin\index.blade.php                    | PHP        |        110 |          0 |          3 |        113 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\pagination\bootstrap-4.blade.php              | PHP        |         43 |          0 |          4 |         47 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\pagination\default.blade.php                  | PHP        |         43 |          0 |          4 |         47 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\pagination\semantic-ui.blade.php              | PHP        |         33 |          0 |          4 |         37 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\pagination\simple-bootstrap-4.blade.php       | PHP        |         26 |          0 |          2 |         28 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\pagination\simple-default.blade.php           | PHP        |         18 |          0 |          2 |         20 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\pagination\simple-tailwind.blade.php          | PHP        |         24 |          0 |          2 |         26 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\vendor\pagination\tailwind.blade.php                 | PHP        |        100 |          0 |          7 |        107 |
| c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\welcome.blade.php                                    | PHP        |          3 |          0 |          1 |          4 |
| Total                                                                                                              |            |      5,361 |         94 |        355 |      5,810 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
